OBJECTID,SCHOOL_ID,SCHOOLDIST,POLYTYPE,PRIMARYPOL,USERNAME,UPDATE_,EDITED,EACODE,District2,Inst_ID,SchDist,SEDdir_BOC,SEDdir_B_1,SED_CODE_1,POPULAR_NA,INSTPECD,INSTSUBYPE,INSSUBDE,MUNICODE,SDLCODE,ORPTSCOD_1,Shape__Area,Shape__Length
552,553,HOLLAND,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,145001,HOLLAND,8E+11,HOLLAND,1492,BOCES ERIE 2-CHAUTAUQUA-CATTARAUGUS,1.41701E+11,HOLLAND CSD,16,4,CENTRAL,1.4074E+11,141701,145001,208183562,102960.5255
553,554,YORKSHIRE-PIONEER,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,48401,YORKSHRE-PIONEER,8E+11,YORKSHRE-PIONEER,490,BOCES CATTAR-ALLEGANY-ERIE-WYOMING,43501060000,YORKSHIRE-PIONEER CSD,16,7,INDEPENDENT CENTRAL,40693100100,43501,48401,593749143.1,196366.2699
554,555,COBLESKILL-RICHMONDV,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,432602,COBLSKL-RCHMDVL,8E+11,COBLSKL-RCHMDVL,190,BOCES CAPITAL REGION,5.41102E+11,COBLESKILL-RICHMONDVILLE CSD,16,7,INDEPENDENT CENTRAL,4.30618E+11,541102,432602,469138221.8,221116.5815
555,556,YORK,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,245201,YORK,8E+11,YORK,2490,BOCES GENESEE VALLEY,2.41701E+11,YORK CSD,16,4,CENTRAL,2.40793E+11,241701,245201,43089.43713,1035.129899
556,557,EVANS-BRANT,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,144401,EVANS-BRANT,8E+11,EVANS-BRANT,1492,BOCES ERIE 2-CHAUTAUQUA-CATTARAUGUS,1.41401E+11,EVANS-BRANT CSD (LAKE SHORE),16,7,INDEPENDENT CENTRAL,1.40628E+11,141401,144401,146661161.5,77849.34581
557,558,PENN YAN,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,573001,PENN YAN,8E+11,PENN YAN,4390,BOCES WAYNE-FINGER LAKES,6.80601E+11,PENN YAN CSD,16,7,INDEPENDENT CENTRAL,5.70653E+11,680601,573001,472555726.2,145403.0457
558,559,MOUNT MORRIS,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,243601,MOUNT MORRIS,8E+11,MOUNT MORRIS,2490,BOCES GENESEE VALLEY,2.40901E+11,MT MORRIS CSD,16,4,CENTRAL,2.40756E+11,240901,243601,96213248.55,76095.13866
559,560,SOUTH COLONIE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,12601,SOUTH COLONIE,8E+11,SOUTH COLONIE,190,BOCES CAPITAL REGION,10601060000,SOUTH COLONIE CSD,16,7,INDEPENDENT CENTRAL,10618700100,10601,12601,56015258,50655.2587
560,561,YORK,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,245201,YORK,8E+11,YORK,2490,BOCES GENESEE VALLEY,2.41701E+11,YORK CSD,16,4,CENTRAL,2.40793E+11,241701,245201,1057.693359,168.7597727
561,562,SCHOHARIE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,434201,SCHOHARIE,8E+11,SCHOHARIE,190,BOCES CAPITAL REGION,5.41201E+11,SCHOHARIE CSD,16,4,CENTRAL,4.30775E+11,541201,434201,206686872.3,126097.2105
